fecha,year,month,quarter,day,week,dayofweek,is_weekend,id_fecha
2022-09-07,2022,9,3,7,36,2,0,202297
2016-01-01,2016,1,1,1,53,4,0,201611
2022-02-10,2022,2,1,10,6,3,0,2022210
2016-08-30,2016,8,3,30,35,1,0,2016830
2015-08-31,2015,8,3,31,36,0,0,2015831
2020-09-17,2020,9,3,17,38,3,0,2020917
2017-04-02,2017,4,2,2,13,6,1,201742
2015-05-04,2015,5,2,4,19,0,0,201554
2018-10-20,2018,10,4,20,42,5,0,20181020
2018-02-07,2018,2,1,7,6,2,0,201827
2023-07-25,2023,7,3,25,30,1,0,2023725
2018-05-31,2018,5,2,31,22,3,0,2018531
2018-12-01,2018,12,4,1,48,5,0,2018121
2020-04-02,2020,4,2,2,14,3,0,202042
2021-12-03,2021,12,4,3,48,4,0,2021123
2023-09-04,2023,9,3,4,36,0,0,202394
2016-10-07,2016,10,4,7,40,4,0,2016107
2019-05-07,2019,5,2,7,19,1,0,201957
2021-09-27,2021,9,3,27,39,0,0,2021927
2018-06-22,2018,6,2,22,25,4,0,2018622
2020-03-14,2020,3,1,14,11,5,0,2020314
2015-12-27,2015,12,4,27,52,6,1,20151227
2020-06-21,2020,6,2,21,25,6,1,2020621
2017-07-31,2017,7,3,31,31,0,0,2017731
2018-02-05,2018,2,1,5,6,0,0,201825
2015-09-07,2015,9,3,7,37,0,0,201597
2015-07-16,2015,7,3,16,29,3,0,2015716
2018-10-25,2018,10,4,25,43,3,0,20181025
2015-05-08,2015,5,2,8,19,4,0,201558
2021-05-17,2021,5,2,17,20,0,0,2021517
2016-10-05,2016,10,4,5,40,2,0,2016105
2018-08-11,2018,8,3,11,32,5,0,2018811
2022-12-17,2022,12,4,17,50,5,0,20221217
2019-09-08,2019,9,3,8,36,6,1,201998
2020-11-02,2020,11,4,2,45,0,0,2020112
2023-04-22,2023,4,2,22,16,5,0,2023422
2018-04-10,2018,4,2,10,15,1,0,2018410
2023-07-24,2023,7,3,24,30,0,0,2023724
2015-10-24,2015,10,4,24,43,5,0,20151024
2015-01-17,2015,1,1,17,3,5,0,2015117
2016-12-12,2016,12,4,12,50,0,0,20161212
2020-05-23,2020,5,2,23,21,5,0,2020523
2021-04-17,2021,4,2,17,15,5,0,2021417
2018-04-16,2018,4,2,16,16,0,0,2018416
2017-12-17,2017,12,4,17,50,6,1,20171217
2019-07-15,2019,7,3,15,29,0,0,2019715
2021-10-31,2021,10,4,31,43,6,1,20211031
2020-08-13,2020,8,3,13,33,3,0,2020813
2016-03-05,2016,3,1,5,9,5,0,201635
2015-06-01,2015,6,2,1,23,0,0,201561
2015-08-18,2015,8,3,18,34,1,0,2015818
2015-11-18,2015,11,4,18,47,2,0,20151118
2019-01-14,2019,1,1,14,3,0,0,2019114
2021-11-28,2021,11,4,28,47,6,1,20211128
2019-10-10,2019,10,4,10,41,3,0,20191010
2018-03-13,2018,3,1,13,11,1,0,2018313
2023-02-28,2023,2,1,28,9,1,0,2023228
2015-06-07,2015,6,2,7,23,6,1,201567
2017-11-13,2017,11,4,13,46,0,0,20171113
2015-12-16,2015,12,4,16,51,2,0,20151216
2018-04-03,2018,4,2,3,14,1,0,201843
2022-05-29,2022,5,2,29,21,6,1,2022529
2018-07-11,2018,7,3,11,28,2,0,2018711
2021-07-06,2021,7,3,6,27,1,0,202176
2023-08-10,2023,8,3,10,32,3,0,2023810
2022-02-09,2022,2,1,9,6,2,0,202229
2020-09-02,2020,9,3,2,36,2,0,202092
2020-03-07,2020,3,1,7,10,5,0,202037
2017-03-15,2017,3,1,15,11,2,0,2017315
2023-12-04,2023,12,4,4,49,0,0,2023124
2017-12-26,2017,12,4,26,52,1,0,20171226
2018-04-09,2018,4,2,9,15,0,0,201849
2022-11-27,2022,11,4,27,47,6,1,20221127
2021-12-22,2021,12,4,22,51,2,0,20211222
2016-04-11,2016,4,2,11,15,0,0,2016411
2018-01-24,2018,1,1,24,4,2,0,2018124
2018-03-21,2018,3,1,21,12,2,0,2018321
2020-03-01,2020,3,1,1,9,6,1,202031
2016-09-03,2016,9,3,3,35,5,0,201693
2015-01-27,2015,1,1,27,5,1,0,2015127
2015-09-04,2015,9,3,4,36,4,0,201594
2017-08-13,2017,8,3,13,32,6,1,2017813
2018-09-10,2018,9,3,10,37,0,0,2018910
2018-01-01,2018,1,1,1,1,0,0,201811
2015-06-28,2015,6,2,28,26,6,1,2015628
2016-03-07,2016,3,1,7,10,0,0,201637
2019-06-09,2019,6,2,9,23,6,1,201969
2015-10-08,2015,10,4,8,41,3,0,2015108
2015-10-07,2015,10,4,7,41,2,0,2015107
2015-12-13,2015,12,4,13,50,6,1,20151213
2015-11-14,2015,11,4,14,46,5,0,20151114
2022-07-11,2022,7,3,11,28,0,0,2022711
2017-09-23,2017,9,3,23,38,5,0,2017923
2019-11-09,2019,11,4,9,45,5,0,2019119
2017-01-17,2017,1,1,17,3,1,0,2017117
2017-09-07,2017,9,3,7,36,3,0,201797
2018-04-20,2018,4,2,20,16,4,0,2018420
2022-11-11,2022,11,4,11,45,4,0,20221111
2023-11-04,2023,11,4,4,44,5,0,2023114
2015-06-25,2015,6,2,25,26,3,0,2015625
2015-10-01,2015,10,4,1,40,3,0,2015101
2018-05-06,2018,5,2,6,18,6,1,201856
2021-11-29,2021,11,4,29,48,0,0,20211129
2019-08-14,2019,8,3,14,33,2,0,2019814
2022-07-28,2022,7,3,28,30,3,0,2022728
2016-05-08,2016,5,2,8,18,6,1,201658
2020-03-03,2020,3,1,3,10,1,0,202033
2015-12-14,2015,12,4,14,51,0,0,20151214
2021-01-30,2021,1,1,30,4,5,0,2021130
2022-02-13,2022,2,1,13,6,6,1,2022213
2017-06-11,2017,6,2,11,23,6,1,2017611
2021-08-26,2021,8,3,26,34,3,0,2021826
2023-02-20,2023,2,1,20,8,0,0,2023220
2021-10-18,2021,10,4,18,42,0,0,20211018
2019-05-03,2019,5,2,3,18,4,0,201953
2020-11-04,2020,11,4,4,45,2,0,2020114
2015-08-28,2015,8,3,28,35,4,0,2015828
2019-05-17,2019,5,2,17,20,4,0,2019517
2022-11-17,2022,11,4,17,46,3,0,20221117
2018-12-18,2018,12,4,18,51,1,0,20181218
2021-03-17,2021,3,1,17,11,2,0,2021317
2023-09-30,2023,9,3,30,39,5,0,2023930
2021-07-17,2021,7,3,17,28,5,0,2021717
2016-11-15,2016,11,4,15,46,1,0,20161115
2021-05-03,2021,5,2,3,18,0,0,202153
2016-06-26,2016,6,2,26,25,6,1,2016626
2020-11-06,2020,11,4,6,45,4,0,2020116
2019-06-03,2019,6,2,3,23,0,0,201963
2018-08-06,2018,8,3,6,32,0,0,201886
2015-09-22,2015,9,3,22,39,1,0,2015922
2023-05-10,2023,5,2,10,19,2,0,2023510
2023-02-11,2023,2,1,11,6,5,0,2023211
2019-12-05,2019,12,4,5,49,3,0,2019125
2016-07-05,2016,7,3,5,27,1,0,201675
2015-06-17,2015,6,2,17,25,2,0,2015617
2019-08-06,2019,8,3,6,32,1,0,201986
2018-08-18,2018,8,3,18,33,5,0,2018818
2019-09-14,2019,9,3,14,37,5,0,2019914
